Source,Target,Type,weight
1,2,Undirected,1
1,3,Undirected,1
1,4,Undirected,1
1,5,Undirected,1
1,6,Undirected,1
1,7,Undirected,1
1,8,Undirected,1
1,9,Undirected,1
1,11,Undirected,1
1,12,Undirected,1
1,13,Undirected,1
1,14,Undirected,1
1,18,Undirected,1
1,20,Undirected,1
1,22,Undirected,1
1,32,Undirected,1
2,3,Undirected,1
2,4,Undirected,1
2,8,Undirected,1
2,14,Undirected,1
2,18,Undirected,1
2,20,Undirected,1
2,22,Undirected,1
2,31,Undirected,1
3,4,Undirected,1
3,8,Undirected,1
3,9,Undirected,1
3,10,Undirected,1
3,14,Undirected,1
3,28,Undirected,1
3,29,Undirected,1
3,33,Undirected,1
4,8,Undirected,1
4,13,Undirected,1
4,14,Undirected,1
5,7,Undirected,1
5,11,Undirected,1
6,7,Undirected,1
6,11,Undirected,1
6,17,Undirected,1
7,17,Undirected,1
9,31,Undirected,1
9,33,Undirected,1
9,34,Undirected,1
10,34,Undirected,1
14,34,Undirected,1
15,33,Undirected,1
15,34,Undirected,1
16,33,Undirected,1
16,34,Undirected,1
19,33,Undirected,1
19,34,Undirected,1
20,34,Undirected,1
21,33,Undirected,1
21,34,Undirected,1
23,33,Undirected,1
23,34,Undirected,1
24,26,Undirected,1
24,28,Undirected,1
24,30,Undirected,1
24,33,Undirected,1
24,34,Undirected,1
25,26,Undirected,1
25,28,Undirected,1
25,32,Undirected,1
26,32,Undirected,1
27,30,Undirected,1
27,34,Undirected,1
28,34,Undirected,1
29,32,Undirected,1
29,34,Undirected,1
30,33,Undirected,1
30,34,Undirected,1
31,33,Undirected,1
31,34,Undirected,1
32,33,Undirected,1
32,34,Undirected,1
33,34,Undirected,1
